report_link,sighting_dateTime,city,state_province,country,ufo_shape,report_summary,media,explanation
https://nuforc.org/sighting/?id=188563,03/25/2025 20:30,Hollywood,FL,USA,Rectangle,Video of pulsing blue recatngle.,True,Laser
https://nuforc.org/sighting/?id=188548,03/25/2025 20:10,Lafayette,CO,USA,Triangle,My wife and I saw 3 lights that appeared to form a large craft flying as we were driving.,False,
https://nuforc.org/sighting/?id=188569,03/25/2025 10:56,Bluffdale,UT,USA,Sphere,Spherical shape shifting,True,Balloon
https://nuforc.org/sighting/?id=188554,03/25/2025 09:00,Bristol,NH,USA,Rectangle,Large craft flying low. Two set of lights parallel to each other.,False,
https://nuforc.org/sighting/?id=188547,03/25/2025 08:00,Longmont,CO,USA,Sphere,"Perfect sphere hovering over Longmont, went east and out of sight line.",True,
https://nuforc.org/sighting/?id=188545,03/25/2025 07:52,Corona,CA,USA,Orb,Walked out to the back shed at work and noticed aa shining object in the sky.. it seamed to change shapes,True,
https://nuforc.org/sighting/?id=188694,03/25/2025 00:00,Forest Grove,OR,USA,Other,I was walking home from the gym one night and I saw an unfamiliar flashing craft hovering in the sky.,True,Drone?
https://nuforc.org/sighting/?id=188524,03/24/2025 23:24,Red Deer,AB,Canada,Triangle,Triangle shape appearance with the 3 points of the object each with a faint white light,False,
https://nuforc.org/sighting/?id=188522,03/24/2025 22:40,Nampa,ID,USA,Chevron,V or chevron shaped flying object,False,
https://nuforc.org/sighting/?id=188535,03/24/2025 22:30,Lancaster,CA,USA,Changing,"Me and fiancé are runing a local ufo reporting and research group , 2nd sighting of craft in month same location..",True,
https://nuforc.org/sighting/?id=188521,03/24/2025 22:20,Boise,ID,USA,Triangle,I caught movement in the sky above me at about 10:20 PM,False,
https://nuforc.org/sighting/?id=188520,03/24/2025 22:00,Mountain Home,ID,USA,Fireball,5 fireballs cross the sky,False,Meteor?
https://nuforc.org/sighting/?id=188503,03/24/2025 21:00,Heerlen,Limburg,Netherlands,Circle,Going really slowly.,True,Rocket
https://nuforc.org/sighting/?id=188508,03/24/2025 21:00,Kortenaken,Vlaams Gewest,Belgium,Rectangle,Wite Rectangle object with 2 connected dark green gray arms that moved it forward,True,Rocket
https://nuforc.org/sighting/?id=188504,03/24/2025 20:13,Topsham,England,United Kingdom,Fireball,The night before the sighting my Wife and I woke to a boom and the windows shaking. Then the sighting was the night after .,True,Rocket
