report_link,sighting_dateTime,city,state_province,country,ufo_shape,report_summary,reported_dateTime,media,explanation
https://nuforc.org/sighting/?id=186433,2024-12-31 23:49:00,Anchorage,AK,USA,Orb,"I of 2 videos of UAP in Alaska , New Years Eve 2024",01/05/2025,True,Chinese Lantern
https://nuforc.org/sighting/?id=186263,2024-12-31 23:40:00,Lauwil,Basel-Landschaft,Switzerland,Light,Same light flying over my house every night,01/01/2025,True,
https://nuforc.org/sighting/?id=187782,2024-12-31 23:40:00,Istanbul,İstanbul,Türkiye,Teardrop,An object that appears as a completely red tear covered a large area horizontally in the sky and then disappeared,02/18/2025,True,
https://nuforc.org/sighting/?id=186304,2024-12-31 23:30:00,Lynn,MA,USA,Unknown,Flying object with red green white lights,01/01/2025,False,Drone?
https://nuforc.org/sighting/?id=186266,2024-12-31 22:40:00,San Antonio,TX,USA,Orb,"Silent fireball-like objects appeared and disappeared, sometimes in fleets, with no sound or apparent source.",01/01/2025,True,Chinese Lantern
https://nuforc.org/sighting/?id=186276,2024-12-31 22:10:00,Charlotte,NC,USA,Other,Silent drone like craft,12/31/2024,False,Drone?
https://nuforc.org/sighting/?id=186260,2024-12-31 21:45:00,Maypearl,TX,USA,Circle,Really this was the first time I’ve actually seen a ufo they were orange balls flying all across the sky,01/01/2025,False,
https://nuforc.org/sighting/?id=186278,2024-12-31 21:30:00,Richmond,VA,USA,Oval,Saw this from the highway and another car stopped to try to capture it on film too.,12/31/2024,True,Drone?
https://nuforc.org/sighting/?id=186302,2024-12-31 21:30:00,Big Sky,Montana,USA,Orb,6 drones and 1 orb,01/01/2025,False,Drone?
https://nuforc.org/sighting/?id=186282,2024-12-31 21:15:00,Oakfield,ME,USA,Orb,"Impossible maneuvers, white orb, unstable characteristics. Flickers at times with no pattern",12/31/2024,False,
https://nuforc.org/sighting/?id=186285,2024-12-31 20:41:00,Lawrenceville,GA,USA,Unknown,Transparent green object fell from sky at high rate of speed,12/31/2024,False,Meteor?
https://nuforc.org/sighting/?id=186952,2024-12-31 20:34:00,Choluteca,Choluteca Department,Honduras,Circle,"It was night and I was alone, I saw the sky a flat type and I got scared and called everyone but nobody believed me, I was there and it",01/17/2025,False,
https://nuforc.org/sighting/?id=186286,2024-12-31 20:25:00,Lake Park,GA,USA,Orb,"Bright white orb flying low like drone but not a drone, no noise, no smoke, very fast speed, vanished mid air, was not man made at all",12/31/2024,False,
https://nuforc.org/sighting/?id=186290,2024-12-31 19:40:00,Durham,NC,USA,Orb,Illuminated orb flying west towards Chapel Hill,12/31/2024,False,
https://nuforc.org/sighting/?id=186300,2024-12-31 19:30:00,Bullhead City,AZ,USA,Circle,"I was driving home from my brother in laws house, this is my 3rd sighting in this area",01/01/2025,True,
https://nuforc.org/sighting/?id=186328,2024-12-31 19:25:00,Tornagrain,Scotland,United Kingdom,Light,Walking on the farm track. I looked out West and seen a different light than normal in the sky canvas.15 mins then vanished.,01/02/2025,True,
