report_link,sighting_dateTime,city,state_province,country,ufo_shape,report_summary,reported_dateTime,media,explanation
https://nuforc.org/sighting/?id=187040,2025-01-20 04:30:00,Almont,MI,USA,Light,"REPEATED EVENT - Lights in the sky appearing, moving around, and then disappearing",01/21/2025,True,
https://nuforc.org/sighting/?id=187012,2025-01-20 01:30:00,Socastee,SC,USA,Oval,I watched for 10 min and it did not move,01/20/2025,False,Drone?
https://nuforc.org/sighting/?id=187230,2025-01-20 00:30:00,,,Unspecified,Light,"Saw (2) bright white flashing lights, came over top of my house heading NE at approx. 500-600 ft. altitude, 5-6 mph.",01/27/2025,False,
https://nuforc.org/sighting/?id=187015,2025-01-19 22:15:00,Green Valley,AZ,USA,Other,A small craft approximately 100ft above the ground,01/20/2025,True,
https://nuforc.org/sighting/?id=186981,2025-01-19 21:47:00,Koonawarra,New South Wales,Australia,Light,Many bright like stars moving in different directions in different parts of the sky moving very fast then disappearing we have footage,01/19/2025,False,
https://nuforc.org/sighting/?id=187009,2025-01-19 21:02:00,Chandler,OK,USA,Changing,Too large to be a star and moved,01/19/2025,True,
https://nuforc.org/sighting/?id=187010,2025-01-19 20:50:00,Henderson,TX,USA,Triangle,There was one large light and multiple lights coming and leaving from bigger light,01/19/2025,True,
https://nuforc.org/sighting/?id=187094,2025-01-19 20:44:00,Nuggetty,Victoria,Australia,Circle,Disk shaped object captured in very clear photos,01/22/2025,True,
https://nuforc.org/sighting/?id=187011,2025-01-19 20:15:00,Chili,WI,USA,Circle,"Fast, white circle/orb",01/19/2025,False,Meteor?
https://nuforc.org/sighting/?id=187003,2025-01-19 20:00:00,Lenoir,NC,USA,Orb,Drones appear to morph into orbs making a larger orb,01/20/2025,True,
https://nuforc.org/sighting/?id=187013,2025-01-19 19:45:00,Pennington,KwaZulu-Natal,South Africa,Circle,Appeared from south moving north,01/20/2025,False,
https://nuforc.org/sighting/?id=187000,2025-01-19 11:41:00,Manton,MI,USA,Light,Seen a flashing light from our house window that appeared odd. Went outside and took pictures and video. Color and movement seemed odd.,01/20/2025,True,
