Report Link,Sighting DateTime,City,State Province,Country,UFO Shape,Report Summary,Media,Explanation,location,latitude,longitude
https://nuforc.org/sighting/?id=188602,03/28/2025 20:15,Long Lake,IL,USA,Circle,Was having a fire with the family and we all saw a circle shaped ufo.,False,,"Long Lake, IL, USA",42.376025,-88.1264132646701
https://nuforc.org/sighting/?id=188599,03/28/2025 19:23,Aurora,IN,USA,Cylinder,"Four or more silver cylindrical UFOs, silent, high up?, flying moderately fast, appeared to glide",False,,"Aurora, IN, USA",39.0570022,-84.9013402
https://nuforc.org/sighting/?id=188596,03/28/2025 15:30,Eastleigh,England,United Kingdom,Oval,"About the size of a small car, flying about 5 times the height of the electricity pylons towards Southampton airport, surely radar??",False,,"Eastleigh, England, United Kingdom",50.9691736,-1.3517331
https://nuforc.org/sighting/?id=188608,03/28/2025 04:00,Birch Tree,MO,USA,Light,Lights moving in orderly fashion,False,,"Birch Tree, MO, USA",36.9911648,-91.4926376
https://nuforc.org/sighting/?id=188600,03/28/2025 02:00,Evans Mills,NY,USA,Orb,Saw orb heading away from the military base.,False,,"Evans Mills, NY, USA",44.088325,-75.807381
https://nuforc.org/sighting/?id=188755,03/28/2025 01:30,Lakewood,CO,USA,Triangle,"A large triangular craft with an X shaped cross structure passed overhead, followed by a helicopter sweeping the sky with a spotlight.",True,,"Lakewood, CO, USA",39.7085736,-105.0846694
https://nuforc.org/sighting/?id=188571,03/27/2025 23:17,Helen,GA,USA,Light,Lights appearing over hickorynut ridge.,True,,"Helen, GA, USA",34.7009043,-83.7294546
https://nuforc.org/sighting/?id=188647,03/27/2025 22:22,9 de Abril,Provincia de Buenos Aires,Argentina,Circle,"An unidentified object clearly fades away; it is detected that it is neither an airplane nor a drone. Excellent shot, excellent audio.",True,,"9 de Abril, Provincia de Buenos Aires, Argentina",-34.7553639,-58.4853799
https://nuforc.org/sighting/?id=188593,03/27/2025 20:54,Clermont,FL,USA,Star,"2 stars, in a row, at star level. No sound, steady light.",True,Satellite,"Clermont, FL, USA",28.5551912,-81.7669488
https://nuforc.org/sighting/?id=188581,03/27/2025 17:10,Las Vegas,NV,USA,Sphere,"Was driving. Saw them fly over the Queensridge towers, they jetted north. Went from flying closely to being far apart, made distance",True,,"Las Vegas, NV, USA",36.1672719,-115.1483538
https://nuforc.org/sighting/?id=188583,03/27/2025 08:21,Mercer,PA,USA,Disk,Short sighting of UFO during the night only lasting 1 min four lights in the sky,False,,"Mercer, PA, USA",41.3334542,-80.3014412
https://nuforc.org/sighting/?id=188585,03/27/2025 07:34,Mexicali,Baja California,Mexico,Oval,Brilliant and big.  Like a drone flying over and another object came out.,False,,"Mexicali, Baja California, Mexico",32.6405247,-115.474899
https://nuforc.org/sighting/?id=188614,03/27/2025 05:12,Allenwood,PA,USA,Triangle,"Saw narrow triangle rising in the sky, triangle shitted to horizontal position and moved NE, moved to front deck to see it leaving.",False,,"Allenwood, PA, USA",41.108604,-76.8972709
https://nuforc.org/sighting/?id=188629,03/27/2025 02:00,Evans Mills,NY,USA,Orb,Ball passed in front of me,False,,"Evans Mills, NY, USA",44.088325,-75.807381
https://nuforc.org/sighting/?id=188573,03/27/2025 00:01,Colorado Springs,CO,USA,Unknown,Rotating flashing colorful and stationary object in the sky above San Isabel National Forrest.,True,,"Colorado Springs, CO, USA",38.8339578,-104.825348
https://nuforc.org/sighting/?id=188574,03/26/2025 23:28,Everson,PA,USA,Light,When looking NW I saw three white lights flying horizontal then suddenly go vertical one after another,False,,"Everson, PA, USA",40.0911841,-79.587539
https://nuforc.org/sighting/?id=188606,03/26/2025 22:30,New London,NC,USA,Unknown,Possible small car sized drone? slowing flying over tree tops with lights on.,False,Drone?,"New London, NC, USA",35.4431965,-80.2192225
https://nuforc.org/sighting/?id=188589,03/26/2025 21:23,Del Monte Forest,CA,USA,Formation,8 orbs in a horizontal formation then start splitting up into groups of 4 and slowly fading in and out,True,,"Del Monte Forest, CA, USA",36.5863492,-121.947455
https://nuforc.org/sighting/?id=188536,03/26/2025 08:53,Tauranga,Bay of Plenty,New Zealand,Cube,It was hovering over a school felid about 800 meters up.,False,,"Tauranga, Bay of Plenty, New Zealand",-37.6859006,176.167505
https://nuforc.org/sighting/?id=188556,03/26/2025 08:13,Mesa,AZ,USA,Circle,It was like seeing a flying black hole moving at a relatively quick pace.,False,,"Mesa, AZ, USA",33.4151005,-111.831455
https://nuforc.org/sighting/?id=188559,03/26/2025 08:00,Lynnwood,WA,USA,Other,"Weird shape flying over my Lynnwood neighborhood. No lights, no sound. I have pics and a short video.",True,Balloon,"Lynnwood, WA, USA",47.8278656,-122.3053932
https://nuforc.org/sighting/?id=188566,03/26/2025 05:05,Dublin,CA,USA,Orb,Orb traveling at high rate of speed and disappears,False,,"Dublin, CA, USA",37.7021521,-121.9357918
https://nuforc.org/sighting/?id=188562,03/26/2025 03:00,Federal,Entre Ríos Province,Argentina,Unknown,"It is not exactly a sighting report, but rather an experience of contact in a dream.",False,,"Federal, Entre Ríos Province, Argentina",-30.9558743,-58.7797943
https://nuforc.org/sighting/?id=188552,03/26/2025 00:45,Hillsboro,OR,USA,Star,"It was pulsating slowly, about 1 second each on and off. It didn't move the entire 7 minutes.",False,Satellite?,"Hillsboro, OR, USA",45.5228939,-122.989827
